189230	01400		Condeissiat		1	82	1	01113	649	27	1,6	46.15861129	5.0783329			
189231	01200		Confort		1	82	1	01114	499	39	1,61	46.15083312	5.8211112			
189232	01310		Confrançon		1	82	1	01115	862	44	1,35	46.26805496	5.06500005			
189233	01300		Contrevoz		1	82	1	01116	430	29	1,71	45.80722045	5.62916707			
189234	01300		Conzieu		1	82	1	01117	100	11	2,11	45.72722244	5.60666704			
189235	01420		Corbonod		1	82	1	01118	898	27	1,61	45.97055435	5.80888891			
189236	01110		Corcelles		1	82	1	01119	221	15	0,87	46.03777694	5.57361078			
189237	I_01262		Cordieux		1	82	1	01120	0	0	1,66	45.916667	5.033333			
189238	01110		Corlier		1	82	1	01121	73	14	1,25	46.0316658	5.49694395			
189239	01110		Cormaranche-en-Bugey		1	82	1	01122	726	37	0,87	45.95360946	5.61222219			
189240	01290		Cormoranche-sur-Saône		1	82	1	01123	904	79	1,74	46.2405548	4.82999992			
189241	01560		Cormoz		1	82	1	01124	512	26	2,27	46.44832992	5.23027992			
189242	01250		Corveissiat		1	82	1	01125	469	19	1,58	46.24388885	5.48138904			
189243	I_01033		Coupy		1	82	1	01126	0	0		46.1	5.8333333			
189244	01370		Courmangoux		1	82	1	01127	360	22	1,51	46.33166885	5.36805582			
189245	01560		Courtes		1	82	1	01128	218	21	2,31	46.4608345	5.09805583			
189246	01320		Crans		1	82	1	01129	258	16	0,9	45.96110916	5.21500015			
189247	01340		Cras-sur-Reyssouze		1	82	1	01130	907	61	1,31	46.30888748	5.16472196			
189248	I_01189		Craz		1	82	1	01131	0	0	1,66	46.033333	5.766667			
189249	I_69274		Crépieux-la-Pape		1	82	1	01132	0	0	1,62	45.8	4.8666667			
189250	01350		Cressin-Rochefort		1	82	1	01133	308	32	1,91	45.77805709	5.76166677			
189251	01290		Crottet		1	82	1	01134	1477	108	1,51	46.27722167	4.89305591			
189252	01620		Crottet		1	82	1	01134	1477	108	1,51	46.27722167	4.89305591			
189253	01170		Crozet		1	82	1	01135	1349	42		46.28083419	6.0124998			
189254	01290		Cruzilles-lès-Mépillat		1	82	1	01136	651	49	1,57	46.22499847	4.88027811			
189255	I_01426		Cuisiat		1	82	1	01137	0	0	1,31	46.3	5.383333			
189256	01350		Culoz		1	82	1	01138	2622	136	1,5	45.85027694	5.78249979			
189257	01560		Curciat-Dongalon		1	82	1	01139	404	19	2,31	46.47360992	5.1550002			
189258	01310		Curtafond		1	82	1	01140	590	34	1,11	46.27166748	5.08861112			
189259	01300		Cuzieu		1	82	1	01141	304	49		45.81833267	5.68527793			
189260	01120		Dagneux		1	82	1	01142	3757	499	1,41	45.85139083	5.07777786			
189261	01220		Divonne-les-Bains		1	82	1	01143	6171	165	2,69	46.37444305	6.16361093			
189262	01380		Dommartin		1	82	1	01144	600	31	1,56	46.33750152	4.98944377			
189263	01240		Dompierre-sur-Veyle		1	82	1	01145	968	28	1,13	46.07361221	5.20416688			
189264	01400		Dompierre-sur-Chalaronne		1	82	1	01146	279	56	1,53	46.1436119	4.90166711			
189265	01270		Domsure		1	82	1	01147	403	29	2,01	46.41888809	5.29416704			
189266	01590		Dortan		1	82	1	01148	2186	116	1,41	46.32222366	5.65833282			
189267	01500		Douvres		1	82	1	01149	646	115	1,21	45.98722076	5.37555599			
189268	01250		Drom		1	82	1	01150	160	19	0,8	46.21888732	5.36527776			
189269	01160		Druillat		1	82	1	01151	882	40	0,1	46.06027984	5.31527805			
189270	01130		Échallon		1	82	1	01152	663	20		46.2108345	5.73833322			
189271	01170		Échenevex		1	82	1	01153	1197	61	2,35	46.30916595	6.04055595			
189272	01340		Étrez		1	82	1	01154	642	42	1,51	46.33499908	5.18611097			
189273	01230		Évosges		1	82	1	01155	109	8	-1	45.95972061	5.5			
189274	01800		Faramans		1	82	1	01156	592	43	1,11	45.90305709	5.12722206			
189275	01480		Fareins		1	82	1	01157	1684	188	1,97	46.02000045	4.76111078			
189276	01550		Farges		1	82	1	01158	594	39	1,95	46.17055511	5.9052782			
189277	01570		Feillens		1	82	1	01159	2933	176	1,57	46.33610916	4.88916683			
189278	01210		Ferney-Voltaire		1	82	1	01160	7083	1341	2,63	46.25555419	6.11111116			
189279	I_01414		Fitignieu		1	82	1	01161	0	0	1,1	45.933333	5.666667			
189280	01350		Flaxieu		1	82	1	01162	50	19	1,61	45.81000137	5.73527812			
189281	01340		Foissiat		1	82	1	01163	1562	37	1,71	46.36916732	5.17388916			
189282	I_01104		Forens		1	82	1	01164	0	0		46.2166667	5.85			
189283	01090		Francheleins		1	82	1	01165	994	61	1,85	46.07444381	4.80805587			
189284	01480		Frans		1	82	1	01166	1848	194	1,91	45.99111175	4.77527809			
189285	01140		Garnerans		1	82	1	01167	565	56	1,74	46.20583343	4.84027814			
189286	I_69278		Genay		1	82	1	01168	4700	0	1,37	45.9	4.8333333			
189287	01090		Genouilleux		1	82	1	01169	399	78	1,91	46.11972045	4.78527784			
189288	01460		Géovreissiat		1	82	1	01170	714	97	0,76	46.18999862	5.55638885			
189289	01100		Géovreisset		1	82	1	01171	759	129	1,24	46.25611114	5.6158328			
189290	01250		Germagnat		1	82	1	01172	92	9	2,05	46.31000137	5.44750022			
189291	01170		Gex		1	82	1	01173	7733	207	2,46	46.33333206	6.05833292			
189292	01130		Giron		1	82	1	01174	100	9	1,46	46.22583389	5.77194404			
189293	01190		Gorrevod		1	82	1	01175	561	74	2,01	46.41860961	4.93972206			
189294	01260		Le Grand-Abergement		1	82	1	01176	108	3	1,84	46.03527832	5.67388916			
189295	01250		Grand-Corent		1	82	1	01177	111	15	0,72	46.19972229	5.43194389			
189296	I_01240		Granges		1	82	1	01178	0	0	1,13	46.233333	5.5			
189297	01290		Grièges		1	82	1	01179	1598	108	1,68	46.25527954	4.8502779			
189298	01220		Grilly		1	82	1	01180	612	85	2,63	46.33027648	6.1161108			
189299	01810		Groissiat		1	82	1	01181	747	97	0,87	46.22138977	5.60611009			
189300	01680		Groslée		1	82	1	01182	333	39	2,21	45.71416854	5.56916713			
189301	01090		Guéreins		1	82	1	01183	1065	221	1,91	46.10583114	4.77805614			
189302	01250		Hautecourt-Romanèche		1	82	1	01184	676	27	-1	46.16222381	5.41777801			
189303	01110		Hauteville-Lompnes		1	82	1	01185	3662	77	0,87	45.97916793	5.60527801			
189304	01110		Hostias		1	82	1	01186	62	5	1,11	45.90166854	5.53499984			
189305	01260		Hotonnes		1	82	1	01187	295	9	1,16	45.99750137	5.69500017			
189306	01140		Illiat		1	82	1	01188	466	19	1,57	46.19027709	4.88944387			
189307	01200		Injoux-Génissiat		1	82	1	01189	970	32	1,5	46.05916595	5.76888895			
189308	01680		Innimond		1	82	1	01190	95	6	1,81	45.78333282	5.57388877			
189309	01430		Izenave		1	82	1	01191	146	10	1,62	46.03944396	5.52527809			
189310	01580		Izernore		1	82	1	01192	1656	56	0,8	46.22027969	5.55305576			
189311	01300		Izieu		1	82	1	01193	178	21	2,61	45.65361022	5.64277791			
189312	01480		Jassans-Riottier		1	82	1	01194	5338	958	2,03	45.98500061	4.7586112			
189313	01250		Jasseron		1	82	1	01195	1256	57	0,84	46.21333312	5.32638883			
189314	01340		Jayat		1	82	1	01196	773	40	1,71	46.36972045	5.11916685			
189315	01250		Journans		1	82	1	01197	330	118	1,08	46.14583206	5.33222198			
189316	01800		Joyeux		1	82	1	01198	206	10	1,55	45.9616661	5.0999999			
189317	01640		Jujurieux		1	82	1	01199	1700	104	0,72	46.04194259	5.40833282			
189318	01450		Labalme		1	82	1	01200	135	14	0,78	46.09555435	5.48472213			
